review_id,stars
KCJ4ut0cDYB1kzaEW3Bccg,4.524990646359328
7zLcfqOLZwqkPnzF9MbFBg,4.001570270269086
YSgvru--0NVPDkfxBrzlMw,4.001040220620136
M6jz9Y5Reb-eopAQJyclvw,3.9379016926513137
J47ubJS9wYGXI-rKjg1xEQ,3.9166614832352304
H8HUqpBt1gz4tOPW9nfRsw,3.982474847980878
Fg-UH4rHCqp8Iz0SOdDJQQ,3.9912447832545244
08SEKYSHhcZJIs_mvrI7BQ,3.9244014973184425
uD4rsP5TWpX14R2ajvHsYA,3.9412056280047914
O9twvCXU4Bs_OC4Eoxnnow,4.012671728310803
UHMz-EmjXg1lMPcSQ7NOEA,3.9331135534179986
9mauYeMulv6n-xfFUQehgQ,3.9404931295687833
gN-APAyl_OPOHSvrj7W0bw,4.1716851408780515
C89KpWMoez_l_LTDWO0JHw,3.9471310979893346
P2oyn5xWOTnUfnJZaeoFDQ,3.935823005358561
8FnzvlallfpZ0Zti8GjBIw,4.487774550646399
34GyY8aYmIgP8ZJv3OxMMQ,3.980999706875463
Vmews_PmA92QwroHByMWJQ,3.9696527309920007
oAYu0_FmSYOY-goYdSMFbQ,3.9408659678854563
BP1FO3x-NERqLbzv27fCVQ,4.122241301175208
TOq-Ca2uDx9uvO2SjXUIJw,4.512105508214341
96rJ8iH7rsJrqKfMykSr_w,3.915320105497896
gGSWwB9We-fWV4gnIb45vw,4.168657439308674
10gcC5X9g8l7gszin3C2Qw,3.9589733497267354
5_Mn8VwQonRAINq7UJmMQg,4.092198426290433
BP58Z38eTf0Ugo4aDi-qHg,3.9365009794278225
d52sXxpQK4E60LP6LQvCdQ,3.9473255292058145
JmBIiJC-Xsy40ECz_lLqzw,3.9334558153801824
TtwrgiOp3mlY4Yjj5_XD-Q,3.9690717190825073
Pxzl3JidZIyx8Jg88FrjPQ,4.180998398151676
CgliCfFDgBkRyriytnDu_Q,3.9117294113384564
HD5pv1_D4drwMC4Zt8MHng,4.155843654807259
wvJLIeoqWk_UlKkGpXrkmQ,3.9465761589070074
b8ImoB8mk02kPNN7ldCwnQ,3.9719759083068107
RSfvxaSvFBM6XgxtaNCH3g,4.1065559601647355
JRCdCDIqtoauqKiVKY56-w,3.980220278976647
p3Pt7c3BiILMrNl5SRN76w,3.9659533436834553
chGpfuolEwwLbhyfopV4ZQ,3.9475815978326083
VFGHKZau95IxC-QXX-B9mw,4.148969668437003
KnE7YX9HO8u6OxelnjFXIQ,4.022565174967631
kEYEqY1Qs-W3Ise4XDiIdQ,3.9942012150343515
IAiCfCCf6O-vEligOmmt-w,3.956517402590735
UdVTNUHj2TrIGrLLTd1d3A,4.515904499977813
obFEaym7zUme5wUg-DT4ug,4.020746436415962
bPApG-jCr8_aeKp-g49dmA,4.517655526433253
b4HsCDAL_OwRmTMGUPScCQ,4.088357022076773
EmfarUZCqIwfAjGpK_WvHg,3.9800620146159233
mcDiFZHG0JjPLmuttZ-OQA,3.912900434438217
EZSs2nl5DIsr84-pooZf8Q,4.007233083311951
